date,count,total_count,ratio
2017-10-01,58,81093,0.0007152281947886994
2017-10-08,43,111517,0.00038559143448980873
2017-10-15,18,87705,0.0002052334530528476
2017-10-22,14,76041,0.0001841112031667127
2017-10-29,25,119287,0.00020957857939255746
2017-11-05,30,101161,0.0002965569735372327
2017-11-12,39,120132,0.0003246428928179003
2017-11-19,13,120902,0.000107525102975964
2017-11-26,18,84093,0.00021404873176126432
2017-12-03,49,120679,0.00040603584716479254
2017-12-10,113,143262,0.000788764641007385
2017-12-17,67,139621,0.00047987050658568553
2017-12-24,16,119738,0.00013362508142778399
2017-12-31,11,80909,0.00013595520893843702
2018-01-07,16,122442,0.00013067411509122686
2018-01-14,12,142496,8.421289018639119e-05
2018-01-21,9,139139,6.468351792092799e-05
2018-01-28,15,142982,0.00010490831013694032
2018-02-04,40,146290,0.0002734294893704286
2018-02-11,55,142175,0.00038684719535783365
2018-02-18,8,140480,5.6947608200455584e-05
2018-02-25,10,137072,7.295435975253881e-05
2018-03-04,8,141301,5.6616725996277454e-05
2018-03-11,28,136663,0.00020488354565610298
2018-03-18,23,142490,0.00016141483612885116
2018-03-25,27,139484,0.000193570588741361
2018-04-01,6,105999,5.660430758780743e-05
2018-04-08,8,131158,6.099513563793287e-05
2018-04-15,3,71620,4.1887740854509915e-05
2018-04-22,18,72047,0.0002498369120157675
2018-04-29,11,75269,0.00014614250222535173
2018-05-06,56,126599,0.0004423415666790417
2018-05-13,13,138331,9.397748877691912e-05
2018-05-20,10,137168,7.290330106147206e-05
2018-05-27,23,115150,0.00019973947025618758
2018-06-03,12,85252,0.0001407591610754
2018-06-10,18,134114,0.0001342141759995228
2018-06-17,15,131901,0.00011372165487752178
2018-06-24,29,130962,0.00022143827980635605
2018-07-01,15,131899,0.00011372337925230669
2018-07-08,11,111969,9.824147755182238e-05
2018-07-15,13,125717,0.00010340685826101482
2018-07-22,1,123565,8.09290656739368e-06
2018-07-29,9,130101,6.917702400442733e-05
2018-08-05,12,129998,9.230911244788381e-05
2018-08-12,12,125924,9.529557510879578e-05
2018-08-19,12,119875,0.00010010427528675704
2018-08-26,14,128099,0.0001092904706516054
2018-09-02,7,121758,5.749108888122341e-05
2018-09-09,10,92679,0.00010789930836543337
2018-09-16,1,33107,3.0205092578608753e-05
2018-09-23,10,42388,0.00023591582523355665
2018-09-30,3,47220,6.353240152477763e-05
2018-10-07,9,106795,8.427360831499602e-05
2018-10-14,21,109472,0.00019182987430575854
2018-10-21,26,104745,0.0002482218721657358
2018-10-28,11,109058,0.00010086376056777128
2018-11-04,18,83577,0.00021537025736745755
2018-11-11,2,34745,5.7562239171103755e-05
2018-11-18,3,42265,7.098071690524074e-05
